0x02005004
0xffffffff
0x0     0x000D6098
0x1     0x000D59B4
0x3     0x000D3108
0x6     0x0060FE7C
0x7     0x00610140
0x8     0x00140F00
0x9     0x00140FD4
0xa     0x00610EA8
0xe     0x005F3C3C
0xf     0x005AF920
0x20    0x000A9A68
0x21    0x00091A4C
0x22    0x01033674
0x24    0x000814F4
0x2f    0x011412D8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x011420D8
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01272ED0
ConfigAddr           0x01141680
PingPtr              0x01038A78
SafeSpace            0x01000000
ImgCkSum             0x6797F4F6
CodeCkSum            0x835F8BF9
SystemCkSum          0x3431CB14
TimeTablePtr         0x01141D80
LogTablePtr          0x011416D8
LogOptsPtr           0x01280A50
CritTablePtr         0x011416E8
Printf               0x00610EA8
Socket               0x000DB510
Bind                 0x000DBDB8
Connect              0x000DE140
Send                 0x000DE6EC
Recv                 0x000DE9F0
Close                0x000DED8C
Malloc               0x00140F00
Free                 0x00140FD4
Resched              0x00091198
:EOS:
