0x02005410
0xffffffff
0x0     0x00130EB4
0x1     0x00130214
0x3     0x0012B3B4
0x6     0x00AD6D08
0x7     0x00AD6FD0
0x8     0x00217FA4
0x9     0x0021880C
0xa     0x00AD848C
0xf     0x00A26FF4
0x20    0x000C57BC
0x21    0x00091B24
0x22    0x01837718
0x24    0x00081480
0x2f    0x0197F5B4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA0FA0
ConfigAddr           0x0197FB40
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x8E96063B
CodeCkSum            0x4E13EE64
SystemCkSum          0x7B8DAE50
TimeTablePtr         0x01980478
LogTablePtr          0x0197FBA4
LogOptsPtr           0x01BF6B20
CritTablePtr         0x0197FBB4
Printf               0x00AD848C
Socket               0x001381E8
Bind                 0x00138DF0
Connect              0x0013BE38
Send                 0x0013C5D0
Recv                 0x0013CB1C
Close                0x0013CF94
Malloc               0x00217FA4
Free                 0x0021880C
Resched              0x000910A0
:EOS:
