0x02005417
0xffffffff
0x0     0x00133984
0x1     0x00132CE4
0x3     0x0012DE74
0x6     0x00AE651C
0x7     0x00AE67E4
0x8     0x0021C5E0
0x9     0x0021CE48
0xa     0x00AE7CA4
0xf     0x00A3602C
0x20    0x000C66FC
0x21    0x00091D30
0x22    0x0183771C
0x24    0x00081480
0x2f    0x0197FCEC
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA2790
ConfigAddr           0x01980278
PingPtr              0x0183F318
SafeSpace            0x01000000
ImgCkSum             0x69399272
CodeCkSum            0x09249121
SystemCkSum          0x036D2A2A
TimeTablePtr         0x01980BB8
LogTablePtr          0x019802DC
LogOptsPtr           0x01BF8310
CritTablePtr         0x019802EC
Printf               0x00AE7CA4
Socket               0x0013ACE4
Bind                 0x0013B8EC
Connect              0x0013E92C
Send                 0x0013F0CC
Recv                 0x0013F618
Close                0x0013FA90
Malloc               0x0021C5E0
Free                 0x0021CE48
Resched              0x00091280
:EOS:
