0x02005418
0xffffffff
0x0     0x00133B88
0x1     0x00132EE8
0x3     0x0012E078
0x6     0x00AE7AF0
0x7     0x00AE7DB8
0x8     0x0021CB24
0x9     0x0021D38C
0xa     0x00AE9278
0xf     0x00A375F0
0x20    0x000C6774
0x21    0x00091D30
0x22    0x01837720
0x24    0x00081480
0x2f    0x0197FD6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA28E0
ConfigAddr           0x019802F0
PingPtr              0x0183F338
SafeSpace            0x01000000
ImgCkSum             0x424A5284
CodeCkSum            0xAFF7B1DA
SystemCkSum          0x6C2F30ED
TimeTablePtr         0x01980C30
LogTablePtr          0x01980354
LogOptsPtr           0x01BF8460
CritTablePtr         0x01980364
Printf               0x00AE9278
Socket               0x0013AEE8
Bind                 0x0013BAF0
Connect              0x0013EB30
Send                 0x0013F2D0
Recv                 0x0013F81C
Close                0x0013FC94
Malloc               0x0021CB24
Free                 0x0021D38C
Resched              0x00091280
:EOS:
