0x02005404
0xffffffff
0x0     0x0012EE80
0x1     0x0012E1E0
0x3     0x001293D4
0x6     0x00ABEC1C
0x7     0x00ABEEE4
0x8     0x00215360
0x9     0x00215BC8
0xa     0x00AC03A0
0xe     0x00AA8A58
0xf     0x00A0F2B8
0x20    0x000C505C
0x21    0x00091ABC
0x22    0x01837718
0x24    0x00081480
0x2f    0x0197ED44
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
ArpTableAddrPtr      0x01BA0420
ConfigAddr           0x0197F2C8
PingPtr              0x0183F2C0
SafeSpace            0x01000000
ImgCkSum             0x8051CCE9
CodeCkSum            0x124751A7
SystemCkSum          0x59DFF05C
TimeTablePtr         0x0197FC00
LogTablePtr          0x0197F32C
LogOptsPtr           0x01BF5DB0
CritTablePtr         0x0197F33C
Printf               0x00AC03A0
Socket               0x001360B0
Bind                 0x00136CB8
Connect              0x00139CF8
Send                 0x0013A490
Recv                 0x0013A9A0
Close                0x0013AE18
Malloc               0x00215360
Free                 0x00215BC8
Resched              0x00091034
:EOS:
