0x05005009
0xffffffff
0x0     0x0022212C
0x1     0x00221A48
0x3     0x0021F1E4
0x6     0x0062EEC4
0x7     0x0062F188
0x8     0x00098C38
0x9     0x00098D0C
0xa     0x0062FF14
0xe     0x005fEC8C
0xf     0x005CF148
0x20    0x000B1F1C
0x21    0x00091D04
0x22    0x01033674
0x24    0x00081694
0x2f    0x01143AA0
0x30    0x00000018
0x31    0x00000034
0x32    0x00000068
0x33    0x00000000
0x34    0x00000044
0x35    0x0102207C
:EOS:
FlashChipAddr        0xBF000000
FlashSemAddr         0x011449A8
FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01282310
ConfigAddr           0x01143EAC
PingPtr              0x0104BC5C
SafeSpace            0x01000000
ImgCkSum             0xB09086B6
CodeCkSum            0xD6D8BC96
SystemCkSum          0x615EAAC9
TimeTablePtr         0x01144620
CritTablePtr         0x01143F78
LogTablePtr          0x01143F68
LogOptsPtr           0x01285FC0
Printf               0x0062FF14
Socket               0x0022766C
Bind                 0x00227F14
Connect              0x0022A348
Send                 0x0022A8F4
Recv                 0x0022ABF8
Close                0x0022AF94
Malloc               0x00098C38
Free                 0x00098D0C
Resched              0x000913B4
:EOS:
