0x05005302
0xffffffff
0x0     0x002E0E74
0x1     0x002E038C
0x3     0x002DD2F8
0x6     0x008CB484
0x7     0x008CB850
0x8     0x00099E0C
0x9     0x0009A6C0
0xa     0x008CCE94
0xe     0x008a3598
0xf     0x0085B534
0x20    0x000C22A8
0x21    0x00091E44
0x22    0x014366E0
0x24    0x00081C7C
0x2f    0x01554430
0x30    0x00000018
0x31    0x00000034
0x32    0x0000006c
0x33    0x00000000
0x34    0x00000048
0x35    0x01422084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x015556F0
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01772A80
ConfigAddr           0x01554A48
PingPtr              0x01457344
SafeSpace            0x01400000
ImgCkSum             0xBB5D6345
CodeCkSum            0x6B7F8E25
SystemCkSum          0xD33B219A
TimeTablePtr         0x01555320
CritTablePtr         0x01554AF0
LogTablePtr          0x01554AE0
LogOptsPtr           0x01777480
Printf               0x008CCE94
Socket               0x002E7AA8
Bind                 0x002E86B0
Connect              0x002EB6A0
Send                 0x002EBE38
Recv                 0x002EC348
Close                0x002EC7C0
Malloc               0x00099E0C
Free                 0x0009A6C0
Resched              0x000913F4
:EOS:
