0x05005402
0xffffffff
0x0     0x00371BEC
0x1     0x00370F5C
0x3     0x0036C188
0x6     0x00AB800C
0x7     0x00AB82D4
0x8     0x00099E04
0x9     0x0009A66C
0xa     0x00AB9788
0xe     0x00A5B998
0xf     0x00A08EBC
0x20    0x000D0F54
0x21    0x00092340
0x22    0x01837718
0x24    0x00081C7C
0x2f    0x0197FAD4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x01822084
:EOS:
;FlashChipAddr        0xBF000000
;FlashSemAddr         0x01980EA8
;FlashSemUseOffset    0x00000018
ArpTableAddrPtr      0x01BF0560
ConfigAddr           0x01980120
PingPtr              0x0185F488
SafeSpace            0x01800000
ImgCkSum             0xDBDDF6BE
CodeCkSum            0x56BD3503
SystemCkSum          0x51D67001
TimeTablePtr         0x01980A80
CritTablePtr         0x019801D4
LogTablePtr          0x019801C4
LogOptsPtr           0x01BF79B0
Printf               0x00AB9788
Socket               0x00378E1C
Bind                 0x00379A24
Connect              0x0037CA64
Send                 0x0037D1FC
Recv                 0x0037D70C
Close                0x0037DB84
Malloc               0x00099E04
Free                 0x0009A66C
Resched              0x000918C4
:EOS:
