0x250E0A83           
0xffffffff           
0x0     0x0020F538   
0x1     0x0020EDC4   
0x3     0x0020C230   
0x6     0x0063A5D0   
0x7     0x0063A868   
0x8     0x0007A7EC   
0x9     0x0007A8E4   
0xa     0x0063B8FC   
0xf     0x005D9508   
0x15    0x00068FC8   
0x17    0x00069160   
0x19    0x000757A8   
0x20    0x000943B0   
0x21    0x00073320   
0x22    0x00B40674   
0x23    0x00061c00   
0x24    0x00063090   
0x25    0x48061c03   
0x28    0x00C41F94   
0x29    0x005A7F54   
0x2f    0x00d7c4bc   
0x30    0x00000018   
0x31    0x00000034   
0x32    0x00000068   
0x33    0x00000000   
0x34    0x00000044   
0x35    0x00B2F07C   
0x3b    0x000AE17C   
0x3c    0x000AE50C   
0x3d    0x000ADC6C   
0x3e    0x000AEABC   
0x3f    0x005AAECC   
:EOS:
ArpTableAddrPtr      0x00D83D80 
ConfigAddr           0x00D85530 
PingPtr              0x00B58F2C 
SafeSpace            0x00b1c000 
ImgCkSum             0x6E4B6A83 
CodeCkSum            0x151490EB 
SystemCkSum          0xA91BA752 
TimeTablePtr         0x00DA8590 
LogTablePtr          0x00D876B4 
LogOptsPtr           0x00D87AC8 
CritTablePtr         0x00D87AC4 
MixedConfig          0x004590A8 
FlashChipAddr        0xF8000000 
FlashSemAddr         0x00DFE1C4 
FlashSemUseOffset    0x00000018 
Printf               0x0063B8FC 
Socket               0x00214E74 
Bind                 0x002158D4 
Connect              0x00217F40 
Send                 0x00218568 
Recv                 0x002188CC 
Close                0x00218CA8 
Malloc               0x0007A7EC 
Free                 0x0007A8E4 
Resched              0x000729E4 

:EOS

