0x00255302            
0xffffffff            
0x0   0x005b0b68      
0x1   0x005b1834      
0x2   0x00000000      
0x3   0x005b3f70      
0x4   0x00000000      
0x5   0x00000000      
0x6   0x0031c000      
0x7   0x00bf94bc      
0x8   0x0033f8c0      
0x9   0x0033ed74      
0xa   0x00bf7c0c      
0xb   0x00000000      
0xc   0x00000000      
0xd   0x00000000      
0xe   0x00bca2ac      
0xf   0x00b79d7c      
0x15  0x00000000      
0x16  0x00000000      
0x17  0x00000000      
0x20  0x31e334      
0x21  0x323a30      
0x22  0x14336e0      
0x23  0x00061c00      
0x24  0x62590      
0x25  0x4bfff671      
0x2a  0x00            
0x2b  0x00            
0x2c  0x00            
0x2d  0x14            
0x2f  0x0175b904      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x0000006c      
0x33  0x00000000      
0x34  0x00000048      
0x35  0x01422084      
:EOS:
ImgCkSum            0xe652f01e
CodeCkSum           0x7851c29e
InterfaceAddr       0xffffed08      
InterfaceLeng       0x0000          
IntSecurityOffset   0x00            
IntNameOffset       0x00            
FlashClassAddr      0x00000000      
FlashChipAddr       0xf8000000      
FlashSemAddr        0x17eeed4       
FlashSemUseOffset   0x00000018      
CryptoDeviceAddr    0x00000000      
ArpTableAddrPtr     0x0176b770      
ArpTableLastPtr     0x00000000      
NumInterfaces       0x00000000      
IfaceStruct2        0x00000000      
IfaceStruct2Len     0x00            
BiosStructAddr      0x00000000      
BiosWriteAddr1      0x00000000      
BiosWriteAddr2      0x00000000      
BiosWriteAddr3      0x00000000      
BiosWriteAddr4      0x00000000      
BiosWriteAddr5      0x00000000      
BiosWriteOffset     0x00000000      
ConfigAddr          0x0176dba0      
TimeTablePtr        0x01799670
CritTablePtr        0x01770224
LogTablePtr         0x0176fe14
LogOptsPtr          0x01770228
:EOS:
