0x250E0717                  
0xffffffff                  
0x0     0x0064C6B0          
0x1     0x0064D01C          
0x3     0x00651B58          
0x6     0x0031C4E4          
0x7     0x00E03944          
0x8     0x0033F0EC          
0x9     0x0033E5F8          
0xa     0x00E02194          
0xf     0x00D42EA0          
0x15    0x00337F28          
0x17    0x00337A6C          
0x19    0x0032E6B4          
0x20    0x0031A540          
0x21    0x00324D68          
0x22    0x01933718          
0x23    0x00061c00          
0x24    0x00062590          
0x25    0x48061c03          
0x28    0x01A4FA6C          
0x29    0x00B96968          
0x2f    0x01cd4e54          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01922084          
0x3b    0x003ACC74          
0x3c    0x003AC954          
0x3d    0x003ACE1C          
0x3e    0x003AC66C          
0x3f    0x00B99DB8          
:EOS:
ArpTableAddrPtr      0x01CE54B0             
ConfigAddr           0x01CEA244             
PingPtr              0x0195C2BC             
SafeSpace            0x0189c000             
ImgCkSum             0x95C9C717             
CodeCkSum            0x42CEC0F0             
SystemCkSum          0x5FE70EE0             
TimeTablePtr         0x01D16C1C             
LogTablePtr          0x01CEC7C0             
LogOptsPtr           0x01CECBD4             
CritTablePtr         0x01CECBD0             
MixedConfig          0x0099A71C             
FlashChipAddr        0xF8000000             
FlashSemAddr         0x01D91CA0             
FlashSemUseOffset    0x00000018             
Printf               0x00E02194             
Socket               0x00644180             
Bind                 0x00643B90             
Connect              0x006407EC             
Send                 0x0064036C             
Recv                 0x0063FC40             
Close                0x0063F970             
Malloc               0x0033F0EC             
Free                 0x0033E5F8             
Resched              0x003234DC             

:EOS

