;
;
;
0x2512020a            
0xffffffff            
0x0   0x00205FD4      
0x1   0x00205988      
0x3   0x00202C20      
0x6   0x00752810      
0x7   0x00752A44      
0x8   0x00096B1C      
0x9   0x00096B74      
0xa   0x00753984      
0xf   0x006D8FC0      
0x20  0x004DA2D8      
0x21  0x00091C98      
0x22  0x0104C980      
0x24  0x00090208      
0x27  0x00F00784      
0x2f  0x0121B000      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000068      
0x33  0x00000000      
0x34  0x00000044      
0x35  0x010388AC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0122ADA0      
ConfigAddr          0x0122CB60      
PingPtr             0x00F18790      
SafeSpace           0x00F00000      
TimeTablePtr        0x01253fb0
CritTablePtr        0x0122f6e0
LogTablePtr         0x0122f260
LogOptsPtr          0x0122f6f0
;
;
;
;
;
:EOS:
;
