0x00055003  			
0xffffffff
0x0  0x0020f3e0
0x1  0x0020ec6c
0x3  0x0020c0d8
0x6  0x0064382c
0x7  0x00643ac4
0x8  0x0007a524
0x9  0x0007a61c
0xa  0x00644b58
0xe  0x006284cc
0xf  0x005df580
0x20  0x000940ec
0x21  0x00073058
0x22  0x00be6630
0x23  0x00061c00
0x24  0x00062f90
0x25  0x4bffec71
0x2f  0x00d51bdc
0x30  0x00000018
0x31  0x00000034
0x32  0x00000068
0x33  0x00000000
0x34  0x00000044
0x35  0x00c08a3c
:EOS:
ConfigAddr             0x00d5ac50
ArpTableAddrPtr        0x00d594a0
FlashChipAddr          0xf8000000
FlashSemAddr           0x00dd5948
FlashSemUseOffset      0x00000018
TimeTablePtr           0x00d7dcb0
CritTablePtr           0x00d5d1e4
LogTablePtr            0x00d5cdd4
LogOptsPtr             0x00d5d1e8
:EOS:
