0x25160a69            
0xffffffff            
0x0   0x00633B1C      
0x1   0x00632CB0      
0x3   0x0062DEC8      
0x6   0x00344000      
0x7   0x00EC642C      
0x8   0x00398DE8      
0x9   0x00396F94      
0xa   0x00EC6C90      
0xf   0x00DBA158      
0x15  0x0037D224      
0x17  0x0037C064      
0x19  0x00387AD0      
0x20  0x0035AE64      
0x21  0x0036D2E4      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A145BC      
0x29  0x00BEB964      
0x2f  0x02E534A8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A29E0      
0x3c  0x003A2D84      
0x3d  0x003A2270      
0x3e  0x003A308C      
:EOS:
ArpTableAddrPtr     0x02E63C00      
ConfigAddr          0x02E68998      
PingPtr             0x02928598      
SafeSpace           0x02611000      
ImgCkSum            0x675d2a69      
CodeCkSum           0x41b0dd05      
TimeTablePtr        0x02e96e40
LogOptsPtr          0x02e6b174
CritTablePtr        0x02e6b170
LogTablePtr         0x02e6ad60
Printf              0x00EC6C90      
Socket              0x0063ADEC      
Bind                0x0063BBC4      
Connect             0x0063DCA4      
Send                0x0063E4E4      
Recv                0x0063EAE0      
Close               0x0063EFF0      
Malloc              0x00398DE8      
Free                0x00396F94      
Resched             0x0036D000      
:EOS:
