0x251608cc            
0xffffffff            
0x0   0x006416A0      
0x1   0x006407E4      
0x3   0x0063B9A8      
0x6   0x00344000      
0x7   0x00F04678      
0x8   0x0039B008      
0x9   0x003991F4      
0xa   0x00F04EEC      
0xf   0x00DF71EC      
0x15  0x0037F4B0      
0x17  0x0037E2F4      
0x19  0x00389D04      
0x20  0x0035BA9C      
0x21  0x0036F30C      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A16114      
0x29  0x00C25890      
0x2f  0x02E584E8      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A4DB4      
0x3c  0x003A5158      
0x3d  0x003A4644      
0x3e  0x003A5460      
:EOS:
ArpTableAddrPtr     0x02E68C3C      
ConfigAddr          0x02E6D9D4      
PingPtr             0x02928B58      
SafeSpace           0x0264E000      
ImgCkSum            0x66bc68cc      
CodeCkSum           0xa7eae859      
TimeTablePtr        0x02e9c44c
LogOptsPtr          0x02e703c4
CritTablePtr        0x02e703c0
LogTablePtr         0x02e6ffb0
Printf              0x00F04EEC      
Socket              0x00648BD8      
Bind                0x006499B0      
Connect             0x0064BAB0      
Send                0x0064C2F0      
Recv                0x0064C908      
Close               0x0064CE18      
Malloc              0x0039B008      
Free                0x003991F4      
Resched             0x0036F000      
:EOS:
