0x25160C61
0xffffffff
0x0     0x006441AC
0x1     0x006432F0
0x3     0x0063E4B4
0x6     0x00344000
0x7     0x00F0AC30
0x8     0x0039BFE0
0x9     0x0039A1CC
0xa     0x00F0B4A4
0xf     0x00DFD0EC
0x15    0x00380488
0x17    0x0037F2CC
0x19    0x0038ACDC
0x20    0x0035D1E4
0x21    0x0037030C
0x22    0x02800850
0x23    0x00061C00
0x24    0x0008362C
0x25    0x48061C03
0x26    0x0280082C
0x28    0x02A1622C
0x29    0x00C2A6CC
0x2f    0x02E58528
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003A5D8C
0x3c    0x003A6130
0x3d    0x003A561C
0x3e    0x003A6438
0x3f    0x00C2D7B4
:EOS:
ArpTableAddrPtr      0x02E68C8C
ConfigAddr           0x02E6DA24
PingPtr              0x02928B58
SafeSpace            0x02652000
ImgCkSum             0x132C9C61
CodeCkSum            0xD5E85164
SystemCkSum          0xF9249B8D
TimeTablePtr         0x02E9C49C
LogTablePtr          0x02E70000
LogOptsPtr           0x02E70414
CritTablePtr         0x02E70410
MixedConfig          0x0098A500
SerialStrPtr         0x02E99B80
NewPassiveHookFunc   0x0038F540
NewPassiveHookLoc    0x00993368
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03E64C14
flashSemUseOffset    0x00000018
Printf               0x00F0B4A4
Socket               0x0064B6E4
Bind                 0x0064C4BC
Connect              0x0064E5BC
Send                 0x0064EDFC
Recv                 0x0064F414
Close                0x0064F924
Malloc               0x0039BFE0
Free                 0x0039A1CC
Resched              0x00370000
:EOS:

