0x25160760            
0xffffffff            
0x0   0x00639E48      
0x1   0x00638F9C      
0x3   0x006341FC      
0x6   0x00344000      
0x7   0x00EDB350      
0x8   0x00399F18      
0x9   0x00398104      
0xa   0x00EDBBC4      
0xf   0x00DCE494      
0x15  0x0037E39C      
0x17  0x0037D1DC      
0x19  0x00388BF0      
0x20  0x0035AE88      
0x21  0x0036E2E4      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A14C1C      
0x29  0x00BFB130      
0x2f  0x02E57F88      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A3A3C      
0x3c  0x003A3DE0      
0x3d  0x003A32CC      
0x3e  0x003A40E8      
:EOS:
ArpTableAddrPtr     0x02E686E0      
ConfigAddr          0x02E6D478      
PingPtr             0x029285DC      
SafeSpace           0x0263D000      
ImgCkSum            0x61bfc760      
CodeCkSum           0x3e8d3bfe      
TimeTablePtr        0x02e9b920
LogOptsPtr          0x02e6fc54
CritTablePtr        0x02e6fc50
LogTablePtr         0x02e6f840
Printf              0x00EDBBC4      
Socket              0x00641280      
Bind                0x00642058      
Connect             0x00644158      
Send                0x00644998      
Recv                0x00644F8C      
Close               0x0064549C      
Malloc              0x00399F18      
Free                0x00398104      
Resched             0x0036E000      
:EOS:
