0x25160e8c            
0xffffffff            
0x0   0x0063F77C      
0x1   0x0063E8C0      
0x3   0x00639AE8      
0x6   0x00344000      
0x7   0x00EFE3CC      
0x8   0x00399FDC      
0x9   0x003981C8      
0xa   0x00EFEC40      
0xf   0x00DF1250      
0x15  0x0037E484      
0x17  0x0037D2E8      
0x19  0x00388CD8      
0x20  0x0035B680      
0x21  0x0036E30C      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A9C      
0x29  0x00C1FDE8      
0x2f  0x02E58348      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003A3B00      
0x3c  0x003A3EA4      
0x3d  0x003A3390      
0x3e  0x003A41AC      
:EOS:
ArpTableAddrPtr     0x02E68A9C      
ConfigAddr          0x02E6D834      
PingPtr             0x02928AD0      
SafeSpace           0x02645000      
ImgCkSum            0x5b9aee8c      
CodeCkSum           0x34d806c5      
TimeTablePtr        0x02e9c098
LogOptsPtr          0x02e70014
CritTablePtr        0x02e70010
LogTablePtr         0x02e6fc00
Printf              0x00EFEC40      
Socket              0x00646C50      
Bind                0x00647A28      
Connect             0x00649B28      
Send                0x0064A368      
Recv                0x0064A95C      
Close               0x0064AE6C      
Malloc              0x00399FDC      
Free                0x003981C8      
Resched             0x0036E000      
:EOS:
