0x2616045C
0xffffffff
0x0     0x0069A654
0x1     0x00699668
0x3     0x0069468C
0x6     0x00344000
0x7     0x00FAF52C
0x8     0x003A3FD0
0x9     0x003A4C40
0xa     0x00FAFDC8
0xf     0x00E9E6C4
0x15    0x003844B0
0x17    0x003832F4
0x19    0x003925B0
0x20    0x0035E200
0x21    0x00374328
0x22    0x02800874
0x23    0x00061C00
0x24    0x00083624
0x25    0x48061C03
0x26    0x02800850
0x28    0x02A43CA4
0x29    0x00CB9AAC
0x2f    0x02E8B184
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003B28F4
0x3c    0x003B2C98
0x3d    0x003B2184
0x3e    0x003B2FA0
0x3f    0x00CBCC44
:EOS:
ArpTableAddrPtr      0x02E9B8E0
ConfigAddr           0x02EA0FBC
PingPtr              0x02925AE8
SafeSpace            0x026C5000
ImgCkSum             0x7AF8345C
CodeCkSum            0xCE052466
SystemCkSum          0xEA28810F
TimeTablePtr         0x02ED0C60
LogTablePtr          0x02EA359C
LogOptsPtr           0x02EA39B0
CritTablePtr         0x02EA39AC
MixedConfig          0x009EEA94
SerialStrPtr         0x02ECE310
NewPassiveHookFunc   0x00397414
NewPassiveHookLoc    0x009F9960
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03EB49B4
flashSemUseOffset    0x00000018
Printf               0x00FAFDC8
Socket               0x006A1E40
Bind                 0x006A2C18
Connect              0x006A4D18
Send                 0x006A5558
Recv                 0x006A5B70
Close                0x006A6080
Malloc               0x003A3FD0
Free                 0x003A4C40
Resched              0x00374000
:EOS:

