0x261602CC
0xffffffff
0x0     0x0069F420
0x1     0x0069E434
0x3     0x00699458
0x6     0x00344000
0x7     0x00FB8C6C
0x8     0x003A4FD0
0x9     0x003A5C40
0xa     0x00FB9508
0xf     0x00EA7948
0x15    0x003854B0
0x17    0x003842F4
0x19    0x003935B0
0x20    0x0035E784
0x21    0x00375328
0x22    0x02800874
0x23    0x00061C00
0x24    0x00083624
0x25    0x48061C03
0x26    0x02800850
0x28    0x02A43F7C
0x29    0x00CC2A30
0x2f    0x02E8B1E4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02738034
0x3b    0x003B38F4
0x3c    0x003B3C98
0x3d    0x003B3184
0x3e    0x003B3FA0
0x3f    0x00CC5BC8
:EOS:
ArpTableAddrPtr      0x02E9B93C
ConfigAddr           0x02EA1018
PingPtr              0x02925B48
SafeSpace            0x026CD000
ImgCkSum             0xBF9832CC
CodeCkSum            0xCB385E64
SystemCkSum          0x0663C2E6
TimeTablePtr         0x02ED0CC0
LogTablePtr          0x02EA35FC
LogOptsPtr           0x02EA3A10
CritTablePtr         0x02EA3A0C
MixedConfig          0x009F4B28
SerialStrPtr         0x02ECE370
NewPassiveHookFunc   0x00398414
NewPassiveHookLoc    0x009FFB68
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03EB4A14
flashSemUseOffset    0x00000018
Printf               0x00FB9508
Socket               0x006A6C0C
Bind                 0x006A79E4
Connect              0x006A9AE4
Send                 0x006AA324
Recv                 0x006AA93C
Close                0x006AAE4C
Malloc               0x003A4FD0
Free                 0x003A5C40
Resched              0x00375000
:EOS:

