0x26160426            
0xffffffff            
0x0   0x00692E34      
0x1   0x00691E48      
0x3   0x0068CED8      
0x6   0x00344000      
0x7   0x00F851F8      
0x8   0x003A1DEC      
0x9   0x003A2A5C      
0xa   0x00F85A94      
0xf   0x00E74810      
0x15  0x00382318      
0x17  0x0038115C      
0x19  0x00390404      
0x20  0x0035D060      
0x21  0x00372314      
0x22  0x02200850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200874      
0x28  0x02443508      
0x29  0x00CA54B0      
0x2f  0x02889FE4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003B0710      
0x3c  0x003B0AB4      
0x3d  0x003AFFA0      
0x3e  0x003B0DBC      
:EOS:
ArpTableAddrPtr     0x0289A748      
ConfigAddr          0x0289F964      
PingPtr             0x02325AD8      
SafeSpace           0x0201C000      
ImgCkSum            0x6fcaf426      
CodeCkSum           0x5630bee0      
TimeTablePtr        0x028ce7b4
LogOptsPtr          0x028a214c
CritTablePtr        0x028a2148
LogTablePtr         0x028a1d38
Printf              0x00F85A94      
Socket              0x0069A59C      
Bind                0x0069B374      
Connect             0x0069D474      
Send                0x0069DCB4      
Recv                0x0069E2A8      
Close               0x0069E7B8      
Malloc              0x003A1DEC      
Free                0x003A2A5C      
Resched             0x00372000      
:EOS:
