0x2616010d            
0xffffffff            
0x0   0x00693EC8      
0x1   0x00692EDC      
0x3   0x0068DF08      
0x6   0x00344000      
0x7   0x00F889CC      
0x8   0x003A1E0C      
0x9   0x003A2A7C      
0xa   0x00F89268      
0xf   0x00E77D08      
0x15  0x00382338      
0x17  0x0038117C      
0x19  0x00390424      
0x20  0x0035D0A0      
0x21  0x00372314      
0x22  0x02200850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02200874      
0x28  0x02443FF0      
0x29  0x00CA7FC0      
0x2f  0x02889EA4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02138034      
0x3b  0x003B0730      
0x3c  0x003B0AD4      
0x3d  0x003AFFC0      
0x3e  0x003B0DDC      
:EOS:
ArpTableAddrPtr     0x0289A608      
ConfigAddr          0x0289F824      
PingPtr             0x02325AD8      
SafeSpace           0x0201D000      
ImgCkSum            0xd259a10d      
CodeCkSum           0x8ca415e9      
TimeTablePtr        0x028ce680
LogOptsPtr          0x028a2014
CritTablePtr        0x028a2010
LogTablePtr         0x028a1c00
Printf              0x00F89268      
Socket              0x0069B630      
Bind                0x0069C408      
Connect             0x0069E508      
Send                0x0069ED48      
Recv                0x0069F348      
Close               0x0069F858      
Malloc              0x003A1E0C      
Free                0x003A2A7C      
Resched             0x00372000      
:EOS:
