0x261604BE
0xffffffff
0x0     0x006D2934
0x1     0x006D18A0
0x3     0x006CC7EC
0x6     0x00344000
0x7     0x00FEB118
0x8     0x003A3B58
0x9     0x003A47C8
0xa     0x00FEB9B4
0xf     0x00ED43A0
0x15    0x0038453C
0x17    0x00383374
0x19    0x003926BC
0x20    0x0035EFAC
0x21    0x00374328
0x22    0x02C00874
0x23    0x00061C00
0x24    0x00083620
0x25    0x48061C03
0x26    0x02C00850
0x28    0x02E47DE4
0x29    0x00CF7BC4
0x2f    0x032C4174
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02B48034
0x3b    0x003B252C
0x3c    0x003B28D0
0x3d    0x003B1DBC
0x3e    0x003B2BD8
0x3f    0x00CFAD5C
:EOS:
ArpTableAddrPtr      0x032D8790
ConfigAddr           0x032DDF70
PingPtr              0x02D26BE8
SafeSpace            0x02A91000
ImgCkSum             0xE62184BE
CodeCkSum            0x7553A701
SystemCkSum          0x8CB55A79
TimeTablePtr         0x03319C7C
LogTablePtr          0x032E05BC
LogOptsPtr           0x032E09D0
CritTablePtr         0x032E09CC
MixedConfig          0x00A2B1D8
SerialStrPtr         0x03316D28
NewPassiveHookFunc   0x00397620
NewPassiveHookLoc    0x00A36114
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x042FCC04
flashSemUseOffset    0x00000018
Printf               0x00FEB9B4
Socket               0x006DA174
Bind                 0x006DAF4C
Connect              0x006DD04C
Send                 0x006DD88C
Recv                 0x006DDEC0
Close                0x006DE3D8
Malloc               0x003A3B58
Free                 0x003A47C8
Resched              0x00374000
:EOS:

