0x261602FC                  
0xffffffff                  
0x0     0x007132B0          
0x1     0x007121E4          
0x3     0x0070C020          
0x6     0x00346000          
0x7     0x0110111C          
0x8     0x003A7B48          
0x9     0x003A88FC          
0xa     0x01101A18          
0xf     0x00FBCB54          
0x15    0x00386E10          
0x17    0x00385C48          
0x19    0x00395F1C          
0x20    0x00361F94          
0x21    0x0037635C          
0x22    0x0330090C          
0x23    0x00061c00          
0x24    0x00083614          
0x25    0x48061c03          
0x26    0x033008E8          
0x28    0x035613E0          
0x29    0x00DB4138          
0x2f    0x03A055BC          
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x03248034          
0x3b    0x003B75D8          
0x3c    0x003B797C          
0x3d    0x003B6E68          
0x3e    0x003B7C84          
0x3f    0x00DB72EC          
:EOS:
ArpTableAddrPtr      0x03A1AE54             
ConfigAddr           0x03A207A0             
PingPtr              0x034280A0             
SafeSpace            0x031ac000             
ImgCkSum             0xFD5CF2FC             
CodeCkSum            0xE3C1523E             
TimeTablePtr         0x03A5EEE0             
LogTablePtr          0x03A22E24             
LogOptsPtr           0x03A2323C             
CritTablePtr         0x03A23238             
flashSemAddr         0x04B78E64
flashSemUseOffset    0x00000018
Printf               0x01101A18             
Socket               0x0071AC1C             
Bind                 0x0071B9F4             
Connect              0x0071DBB4             
Send                 0x0071E3F4             
Recv                 0x0071EA30             
Close                0x0071EF50             
Malloc               0x003A7B48             
Free                 0x003A88FC             
Resched              0x00376000             
:EOS:

