0x26160DC3
0xffffffff
0x0     0x00718A70
0x1     0x007179A4
0x3     0x007117AC
0x6     0x00346000
0x7     0x0111C210
0x8     0x003A6C94
0x9     0x003A7A48
0xa     0x0111CB0C
0xf     0x00FD6CEC
0x15    0x00385E5C
0x17    0x00384C94
0x19    0x0039503C
0x20    0x00360F00
0x21    0x0037535C
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x27    0x03A28B7C
0x28    0x03561EC4
0x29    0x00DCC470
0x2f    0x03A0599C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003B6724
0x3c    0x003B6AC8
0x3d    0x003B5FB4
0x3e    0x003B6DD0
0x3f    0x00DCF624
:EOS:
ArpTableAddrPtr      0x03A1C238
ConfigAddr           0x03A21B84
PingPtr              0x034280A8
SafeSpace            0x031C7000
ImgCkSum             0x93C72DC3
CodeCkSum            0x30512891
SystemCkSum          0x6A63BC21
TimeTablePtr         0x03A62338
LogTablePtr          0x03A2420C
LogOptsPtr           0x03A24624
CritTablePtr         0x03A24620
MixedConfig          0x00AC749C
Printf               0x0111CB0C
Socket               0x007203FC
Bind                 0x007211D4
Connect              0x00723398
Send                 0x00723BE0
Recv                 0x0072421C
Close                0x0072473C
Malloc               0x003A6C94
Free                 0x003A7A48
Resched              0x00375000
:EOS:
