0x26160265
0xffffffff
0x0     0x0074FD00
0x1     0x0074EC34
0x3     0x007487F8
0x6     0x00346000
0x7     0x011EA8B4
0x8     0x003AE31C
0x9     0x003AF0D0
0xa     0x011EB1B0
0xf     0x0109F938
0x15    0x0038CB88
0x17    0x0038B9C0
0x19    0x0039C4EC
0x20    0x00361C4C
0x21    0x0037835C
0x22    0x03400924
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400900
0x28    0x0366F6A8
0x29    0x00E8ED84
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003BDF1C
0x3c    0x003BE2C0
0x3d    0x003BD7AC
0x3e    0x003BE5C8
0x3f    0x00E91F38
0x40    0x03966A88
0x41    0xFFFFFE74
0x42    0x0034B4A4
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C04
SafeSpace            0x032D1000
ImgCkSum             0xF4BF7265
CodeCkSum            0xF877B511
SystemCkSum          0x686F3370
TimeTablePtr         0x039E4E28
LogTablePtr          0x03961268
LogOptsPtr           0x0395FDA8
CritTablePtr         0x03961278
MixedConfig          0x00B656A8
SerialStrPtr         0x039E04CC
NewPassiveHookFunc   0x003A1658
NewPassiveHookLoc    0x00B72978
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF1010
flashSemUseOffset    0x00000018
Printf               0x011EB1B0
Socket               0x007577D0
Bind                 0x007585A8
Connect              0x0075A778
Send                 0x0075B01C
Recv                 0x0075B6AC
Close                0x0075BBCC
Malloc               0x003AE31C
Free                 0x003AF0D0
Resched              0x00378000
:EOS:

