0x25140c6c            
0xffffffff            
0x0   0x0036F084      
0x1   0x0038247C      
0x3   0x00653B68      
0x6   0x0037E15C      
0x7   0x00375F74      
0x8   0x0038501C      
0x9   0x0039DC2C      
0xa   0x0039D7D8      
0xf   0x00DF40C4      
0x15  0x003A99A0      
0x17  0x00376060      
0x19  0x003B1568      
0x20  0x0035D1D8      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A38      
0x29  0x00C25394      
0x2f  0x02E58168      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C6510      
0x3c  0x003C68B4      
0x3d  0x003C5DA0      
0x3e  0x003C6BBC      
:EOS:
ArpTableAddrPtr     0x02E688BC      
ConfigAddr          0x02E6D654      
PingPtr             0x02928AD0      
SafeSpace           0x02642000      
ImgCkSum            0x9aaebc6c      
CodeCkSum           0xea0b5d7d      
TimeTablePtr        0x02e9beb4
CritTablePtr        0x02e6fe30
LogTablePtr         0x02e6fa20
LogOptsPtr          0x02e6fe34
Printf              0x0039D7D8      
Socket              0x0065F3CC      
Bind                0x006601A4      
Connect             0x00661A58      
Send                0x00662298      
Recv                0x0066288C      
Close               0x00662D9C      
Malloc              0x0038501C      
Free                0x0039DC2C      
Resched             0x00370000      
:EOS:
