0x25140151            
0xffffffff            
0x0   0x0036F0CC      
0x1   0x0038247C      
0x3   0x00653FC4      
0x6   0x0037E15C      
0x7   0x00375F74      
0x8   0x0038501C      
0x9   0x0039DC54      
0xa   0x0039D800      
0xf   0x00DFC2EC      
0x15  0x003A99C8      
0x17  0x00376060      
0x19  0x003B1590      
0x20  0x0035D210      
0x21  0x00370928      
0x22  0x0280082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02800850      
0x28  0x02A15A48      
0x29  0x00C2D5A0      
0x2f  0x02E58168      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003C6538      
0x3c  0x003C68DC      
0x3d  0x003C5DC8      
0x3e  0x003C6BE4      
:EOS:
ArpTableAddrPtr     0x02E688BC      
ConfigAddr          0x02E6D654      
PingPtr             0x02928AD0      
SafeSpace           0x02645000      
ImgCkSum            0x63800151      
CodeCkSum           0x3a11d6ae      
TimeTablePtr        0x02e9beb4
LogOptsPtr          0x02e6fe34
CritTablePtr        0x02e6fe30
LogTablePtr         0x02e6fa20
Printf              0x0039D800      
Socket              0x0065F828      
Bind                0x00660600      
Connect             0x00661EB4      
Send                0x006626F4      
Recv                0x00662CE8      
Close               0x006631F8      
Malloc              0x0038501C      
Free                0x0039DC54      
Resched             0x00370000      
:EOS:
