0x25140E81
0xffffffff
0x0     0x00371440
0x1     0x003841C8
0x3     0x00659A5C
0x6     0x0037FD50
0x7     0x00377DF4
0x8     0x00386DDC
0x9     0x003A0454
0xa     0x003A0000
0xf     0x00DF1BC0
0x15    0x003AC13C
0x17    0x00377EE0
0x19    0x003B3D04
0x20    0x0035F148
0x21    0x00372928
0x22    0x02100850
0x23    0x00061c00
0x24    0x0008362C
0x25    0x48061c03
0x26    0x0210082C
0x28    0x02315FE0
0x29    0x00C34578
0x2f    0x027575E8
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02038034
0x3b    0x003C8F34
0x3c    0x003C92D8
0x3d    0x003C87C4
0x3e    0x003C95E0
0x3f    0x00C37660
:EOS:
ArpTableAddrPtr      0x02767D4C
ConfigAddr           0x0276CAE4
PingPtr              0x02228AD0
SafeSpace            0x01fce000
ImgCkSum             0x70D08E81
CodeCkSum            0x644B646A
SystemCkSum          0xDBE3CD4B
TimeTablePtr         0x0279B51C
LogTablePtr          0x0276F0C0
LogOptsPtr           0x0276F4D4
CritTablePtr         0x0276F4D0
MixedConfig          0x0099620C
SerialStrPtr         0x02798C00
NewPassiveHookFunc   0x003765F4
NewPassiveHookLoc    0x0099EC2C
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x03752734
flashSemUseOffset    0x00000018
Printf               0x003A0000
Socket               0x00665394
Bind                 0x0066616C
Connect              0x00667A20
Send                 0x00668260
Recv                 0x00668878
Close                0x00668D88
Malloc               0x00386DDC
Free                 0x003A0454
Resched              0x00372000
:EOS:

