0x251405f1            
0xffffffff            
0x0   0x0036ED74      
0x1   0x00382698      
0x3   0x00651A90      
0x6   0x0037E378      
0x7   0x00375DEC      
0x8   0x003851D0      
0x9   0x0039DB6C      
0xa   0x0039D718      
0xf   0x00DC4764      
0x15  0x003A98EC      
0x17  0x00375ED8      
0x19  0x003B14B4      
0x20  0x0035CF9C      
0x21  0x00370928      
0x22  0x0210082c      
0x23  0x00061c00      
0x24  0x0008362C      
0x25  0x48061c03      
0x26  0x02100850      
0x28  0x02315774      
0x29  0x00C09290      
0x2f  0x02757208      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02038034      
0x3b  0x003C645C      
0x3c  0x003C6800      
0x3d  0x003C5CEC      
0x3e  0x003C6B08      
:EOS:
ArpTableAddrPtr     0x0276795C      
ConfigAddr          0x0276C6F4      
PingPtr             0x02228AF0      
SafeSpace           0x01FC6000      
ImgCkSum            0xdf9685f1      
CodeCkSum           0xa05677d6      
TimeTablePtr        0x0279ab84
LogOptsPtr          0x0276eed4
CritTablePtr        0x0276eed0
LogTablePtr         0x0276eac0
Printf              0x0039D718      
Socket              0x0065D248      
Bind                0x0065E020      
Connect             0x0065F8D4      
Send                0x00660114      
Recv                0x00660708      
Close               0x00660C18      
Malloc              0x003851D0      
Free                0x0039DB6C      
Resched             0x00370000      
:EOS:
