0x26140001            
0xffffffff            
0x0   0x00374568      
0x1   0x00386C38      
0x3   0x006AA7D4      
0x6   0x00382B0C      
0x7   0x0037AF40      
0x8   0x00389898      
0x9   0x003A2D04      
0xa   0x003A28CC      
0xf   0x00EA4690      
0x15  0x003AEB0C      
0x17  0x0037B02C      
0x19  0x003B9F6C      
0x20  0x00361328      
0x21  0x00375930      
0x22  0x02800850      
0x23  0x00061c00      
0x24  0x00083624      
0x25  0x48061c03      
0x26  0x02800874      
0x28  0x02A441BC      
0x29  0x00CC28C0      
0x2f  0x02E8AE84      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02738034      
0x3b  0x003D4C9C      
0x3c  0x003D5040      
0x3d  0x003D452C      
0x3e  0x003D5348      
:EOS:
ArpTableAddrPtr     0x02E9B5E8      
ConfigAddr          0x02EA0804      
PingPtr             0x02925AD8      
SafeSpace           0x026BF000      
ImgCkSum            0xb8fb7001      
CodeCkSum           0xa98c7439      
TimeTablePtr        0x02ecf6a0
LogOptsPtr          0x02ea2ff4
CritTablePtr        0x02ea2ff0
LogTablePtr         0x02ea2be0
Printf              0x003A28CC      
Socket              0x006B6578      
Bind                0x006B7350      
Connect             0x006B8C04      
Send                0x006B9444      
Recv                0x006B9A44      
Close               0x006B9F54      
Malloc              0x00389898      
Free                0x003A2D04      
Resched             0x00375000      
:EOS:
