0x26140B8D
0xffffffff
0x0     0x00374B58
0x1     0x0038679C
0x3     0x006AEA20
0x6     0x00382714
0x7     0x0037ADC0
0x8     0x003893FC
0x9     0x003A2D84
0xa     0x003A294C
0xf     0x00E8ECBC
0x15    0x003AEB5C
0x17    0x0037AEAC
0x19    0x003B9FBC
0x20    0x00362528
0x21    0x00375944
0x22    0x02200874
0x23    0x00061c00
0x24    0x00083624
0x25    0x48061c03
0x26    0x02200850
0x28    0x02443AD8
0x29    0x00CBFDF8
0x2f    0x0288A164
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x02138034
0x3b    0x003D4CEC
0x3c    0x003D5090
0x3d    0x003D457C
0x3e    0x003D5398
0x3f    0x00CC2F90
:EOS:
ArpTableAddrPtr      0x0289A8C0
ConfigAddr           0x0289FF9C
PingPtr              0x02325AE8
SafeSpace            0x0201e000
ImgCkSum             0x0E97BB8D
CodeCkSum            0xCD9200A1
SystemCkSum          0xEB8ABBFC
TimeTablePtr         0x028CFC00
LogTablePtr          0x028A257C
LogOptsPtr           0x028A2990
CritTablePtr         0x028A298C
MixedConfig          0x009F7F58
SerialStrPtr         0x028CD2B0
NewPassiveHookFunc   0x003795C0
NewPassiveHookLoc    0x00A029D4
NewPassiveHookRepl   0x48061c03
flashSemAddr         0x038A2374
flashSemUseOffset    0x00000018
Printf               0x003A294C
Socket               0x006BA850
Bind                 0x006BB628
Connect              0x006BCEDC
Send                 0x006BD71C
Recv                 0x006BDD34
Close                0x006BE244
Malloc               0x003893FC
Free                 0x003A2D84
Resched              0x00375000
:EOS:

