0x26140ADD
0xffffffff
0x0     0x00377374
0x1     0x00389F24
0x3     0x006EE330
0x6     0x00385AD4
0x7     0x0037DF98
0x8     0x0038CE14
0x9     0x003A62B8
0xa     0x003A5E80
0xf     0x00F0F488
0x15    0x003B2274
0x17    0x0037E084
0x19    0x003BE250
0x20    0x00363B90
0x21    0x00378944
0x22    0x03300874
0x23    0x00061C00
0x24    0x00083620
0x25    0x48061C03
0x26    0x03300850
0x28    0x0354B4DC
0x29    0x00D1FFF8
0x2f    0x039E54B4
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003D8CE8
0x3c    0x003D908C
0x3d    0x003D8578
0x3e    0x003D9394
0x3f    0x00D23190
0x40    0x03A055F0
0x41    0xFFFFFEC8
0x42    0x0034C2C0
:EOS:
ArpTableAddrPtr      0x039F9AD8
ConfigAddr           0x039FF2B8
PingPtr              0x03426BE8
SafeSpace            0x03140000
ImgCkSum             0xC1407ADD
CodeCkSum            0xC2D9D100
SystemCkSum          0x98A2E2B5
TimeTablePtr         0x03A3B01C
LogTablePtr          0x03A01904
LogOptsPtr           0x03A01D18
CritTablePtr         0x03A01D14
MixedConfig          0x00A4F9A8
SerialStrPtr         0x03A380C8
NewPassiveHookFunc   0x0037C798
NewPassiveHookLoc    0x00A5A708
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04B54644
flashSemUseOffset    0x00000018
Printf               0x003A5E80
Socket               0x006FA274
Bind                 0x006FB04C
Connect              0x006FC900
Send                 0x006FD140
Recv                 0x006FD774
Close                0x006FDC94
Malloc               0x0038CE14
Free                 0x003A62B8
Resched              0x00378000
:EOS:
