0x26140747            
0xffffffff            
0x0   0x00374374      
0x1   0x00386B60      
0x3   0x006E2900      
0x6   0x003828E4      
0x7   0x0037AE04      
0x8   0x00389A34      
0x9   0x003A29A0      
0xa   0x003A2568      
0xf   0x00ED87EC      
0x15  0x003AE95C      
0x17  0x0037AEF0      
0x19  0x003B9E3C      
0x20  0x003619A4      
0x21  0x00375944      
0x22  0x02C00850      
0x23  0x00061c00      
0x24  0x00083620      
0x25  0x48061c03      
0x26  0x02c00874      
0x28  0x02E48134      
0x29  0x00CFE8A0      
0x2f  0x032C3E94      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x02B48034      
0x3b  0x003D48D4      
0x3c  0x003D4C78      
0x3d  0x003D4164      
0x3e  0x003D4F80      
:EOS:
ArpTableAddrPtr     0x032D84AC      
ConfigAddr          0x032DDC8C      
PingPtr             0x02D26B88      
SafeSpace           0x02A8A000      
ImgCkSum            0x2a873747      
CodeCkSum           0x52cb32f7      
TimeTablePtr        0x03319798
LogOptsPtr          0x032e06ec
CritTablePtr        0x032e06e8
LogTablePtr         0x032e02d8
Printf              0x003A2568      
Socket              0x006EE818      
Bind                0x006EF5F0      
Connect             0x006F0EA4      
Send                0x006F16E4      
Recv                0x006F1D18      
Close               0x006F2230      
Malloc              0x00389A34      
Free                0x003A29A0      
Resched             0x00375000      
:EOS:
