0x26140237
0xffffffff
0x0     0x00379988
0x1     0x0038C978
0x3     0x00732AC8
0x6     0x00388044
0x7     0x0037FEE4
0x8     0x0038F9B0
0x9     0x003AA1A8
0xa     0x003A9D44
0xf     0x00FEA464
0x15    0x003B6B10
0x17    0x0037FFD0
0x19    0x003C301C
0x20    0x003676D4
0x21    0x0037A880
0x22    0x03300918
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x033008F4
0x28    0x03561F04
0x29    0x00DE16E8
0x2f    0x03A0599C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003DED40
0x3c    0x003DF0E4
0x3d    0x003DE5D0
0x3e    0x003DF3EC
0x3f    0x00DE489C
0x40    0x03A28B7C
0x41    0xFFFFFEC8
0x42    0x0034F29C
:EOS:
ArpTableAddrPtr      0x03A1C238
ConfigAddr           0x03A21B84
PingPtr              0x034280A8
SafeSpace            0x031D3000
ImgCkSum             0xFA4B2237
CodeCkSum            0x04E121A0
SystemCkSum          0xF8FE4BD2
TimeTablePtr         0x03A62338
LogTablePtr          0x03A2420C
LogOptsPtr           0x03A24624
CritTablePtr         0x03A24620
MixedConfig          0x00ADEE90
SerialStrPtr         0x03A5E6DC
NewPassiveHookFunc   0x0037E68C
NewPassiveHookLoc    0x00AE9FC0
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x04B7C584
flashSemUseOffset    0x00000018
Printf               0x003A9D44
Socket               0x0073FCF8
Bind                 0x00740AD0
Connect              0x00742448
Send                 0x00742C90
Recv                 0x007432CC
Close                0x007437EC
Malloc               0x0038F9B0
Free                 0x003AA1A8
Resched              0x0037A000
:EOS:

;Dat file created 26 Sep 2011 by isg2000.py  Revision: 4740

