0x261405AF
0xffffffff
0x0     0x00379038
0x1     0x0038C930
0x3     0x00730314
0x6     0x00388040
0x7     0x0037FEE0
0x8     0x0038F86C
0x9     0x003A9C3C
0xa     0x003A97D8
0xf     0x00FE0ED0
0x15    0x003B65A0
0x17    0x0037FFCC
0x19    0x003C2974
0x20    0x00366E18
0x21    0x0037A880
0x22    0x03300918
0x23    0x00061c00
0x24    0x00083614
0x25    0x48061c03
0x26    0x033008F4
0x27    0x03A28AFC
0x28    0x03561E58
0x29    0x00DD86F0
0x2f    0x03A0591C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03248034
0x3b    0x003DE698
0x3c    0x003DEA3C
0x3d    0x003DDF28
0x3e    0x003DED44
0x3f    0x00DDB8A4
:EOS:
ArpTableAddrPtr      0x03A1C1B8
ConfigAddr           0x03A21B04
PingPtr              0x034280A4
SafeSpace            0x031c0000
ImgCkSum             0xD10A95AF
CodeCkSum            0x405D800B
SystemCkSum          0x253135EE
TimeTablePtr         0x03A602A8
LogTablePtr          0x03A2418C
LogOptsPtr           0x03A245A4
CritTablePtr         0x03A245A0
MixedConfig          0x00AD8838
Printf               0x003A97D8
Socket               0x0073D4FC
Bind                 0x0073E2D4
Connect              0x0073FC4C
Send                 0x00740494
Recv                 0x00740AD0
Close                0x00740FF0
Malloc               0x0038F86C
Free                 0x003A9C3C
Resched              0x0037A000
:EOS:
