0x261404B0
0xffffffff
0x0     0x0037C8DC
0x1     0x0038FB34
0x3     0x00768FAC
0x6     0x0038B100
0x7     0x00382EE8
0x8     0x00392B60
0x9     0x003ADAD4
0xa     0x003AD670
0xf     0x010B4064
0x15    0x003BE18C
0x17    0x00382FD4
0x19    0x003CAD84
0x20    0x0036852C
0x21    0x0037D880
0x22    0x0340092C
0x23    0x00061C00
0x24    0x00083614
0x25    0x48061C03
0x26    0x03400908
0x28    0x0366FACC
0x29    0x00EA69FC
0x2f    0x03921F6C
0x30    0x00000018
0x31    0x00000034
0x32    0x00000094
0x33    0x00000000
0x34    0x00000070
0x35    0x03348034
0x3b    0x003E6D10
0x3c    0x003E70B4
0x3d    0x003E65A0
0x3e    0x003E73B0
0x3f    0x00EA9B80
0x40    0x03966AA8
0x41    0xFFFFFE68
0x42    0x0034F014
:EOS:
ArpTableAddrPtr      0x0394AB4C
ConfigAddr           0x03957210
PingPtr              0x03529C28
SafeSpace            0x032E6000
ImgCkSum             0x247A14B0
CodeCkSum            0x9295E6C6
SystemCkSum          0xA23729BA
TimeTablePtr         0x039E6EBC
LogTablePtr          0x03961290
LogOptsPtr           0x0395FDD0
CritTablePtr         0x039612A0
MixedConfig          0x00B7CF60
SerialStrPtr         0x039E2560
NewPassiveHookFunc   0x00381690
NewPassiveHookLoc    0x00B89EDC
NewPassiveHookRepl   0x48061C03
flashSemAddr         0x03CF323C
flashSemUseOffset    0x00000018
Printf               0x003AD670
Socket               0x00776550
Bind                 0x00777328
Connect              0x00778CC0
Send                 0x00779564
Recv                 0x00779BE0
Close                0x0077A100
Malloc               0x00392B60
Free                 0x003ADAD4
Resched              0x0037D000
:EOS:

