;
;
;
;
;
0x25180908            
0xffffffff            
0x0   0x00308FC0      
0x1   0x003086E0      
0x3   0x00303260      
0x6   0x00C0B940      
0x7   0x00C0BBC0      
0x8   0x0009ADC0      
0x9   0x0009B660      
0xa   0x00C0D300      
0xf   0x00AE4440      
0x15  0x00088CC0      
0x17  0x00088FE0      
0x19  0x00094CB0      
0x28  0x0087854F      
0x29  0x00871FD4      
0x3b  0x000AC120      
0x3c  0x000AC4C0      
0x3d  0x000ABC40      
0x3e  0x000AC7C0      
;
0x20  0x006FB440      
0x21  0x00094080      
0x22  0x0191BEF0      
0x24  0x000932D8      
0x27  0x01600A04      
0x2f  0x01CB0840      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01904224      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01CC33C0      
ConfigAddr          0x01CC8640      
PingPtr             0x01624FA4      
SafeSpace           0x01600000      
CodeCkSum           0x4ec332af      
ImgCkSum            0x6d4db908      
TimeTablePtr        0x01cf8cb0
CritTablePtr        0x01ccb340
LogTablePtr         0x01ccaec0
LogOptsPtr          0x01ccb350
;
Printf              0x00C0D300      
Socket              0x003105A0      
Bind                0x003111E0      
Connect             0x00314460      
Send                0x00314F20      
Recv                0x003151C0      
Close               0x003156A0      
Malloc              0x0009ADC0      
Free                0x0009B660      
Resched             0x000927E0      
SyscallTable        0x01600A04      
;
;
;
:EOS:
;
