;
;
;
;
;
0x25180CAB            
0xffffffff            
0x0   0x0030B7C0      
0x1   0x0030AEC0      
0x3   0x00305A40      
0x6   0x00C24880      
0x7   0x00C24B00      
0x8   0x0009AE20      
0x9   0x0009B6C0      
0xa   0x00C26240      
0xf   0x00AFD180      
0x15  0x00088D00      
0x17  0x00089040      
0x19  0x00094D10      
0x28  0x0089102F      
0x29  0x0088AAB4      
0x3b  0x000AC180      
0x3c  0x000AC520      
0x3d  0x000ABCA0      
0x3e  0x000AC820      
;
0x20  0x00700100      
0x21  0x000940E0      
0x22  0x01A1BFF8      
0x24  0x00093338      
0x27  0x01700A04      
0x2f  0x01DB0940      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A0432C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC34C0      
ConfigAddr          0x01DC8740      
PingPtr             0x01724F84      
SafeSpace           0x01700000      
CodeCkSum           0xa2ee126c      
ImgCkSum            0xae989cab      
TimeTablePtr        0x01df9130
CritTablePtr        0x01dcb440
LogTablePtr         0x01dcafc0
LogOptsPtr          0x01dcb450
;
Printf              0x00C26240      
Socket              0x00312E80      
Bind                0x00313AC0      
Connect             0x00316D40      
Send                0x00317800      
Recv                0x00317AA0      
Close               0x00317F80      
Malloc              0x0009AE20      
Free                0x0009B6C0      
Resched             0x00092840      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
