;
;
;
;
;
0x25180ec6            
0xffffffff            
0x0   0x0030BCE0      
0x1   0x0030B3E0      
0x3   0x00305F60      
0x6   0x00C256A0      
0x7   0x00C25920      
0x8   0x0009AE20      
0x9   0x0009B6C0      
0xa   0x00C27060      
0xf   0x00AFDF40      
0x15  0x00088D00      
0x17  0x00089040      
0x19  0x0009517C      
0x28  0x00891A0F      
0x29  0x0088B494      
0x3b  0x000AC180      
0x3c  0x000AC520      
0x3d  0x000ABCA0      
0x3e  0x000AC820      
;
0x20  0x00700B20      
0x21  0x000940E0      
0x22  0x01A1C040      
0x24  0x00093338      
0x27  0x01700A04      
0x2f  0x01DB0B40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A04374      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01DC36C0      
ConfigAddr          0x01DC8940      
PingPtr             0x01724F84      
SafeSpace           0x01700000      
CodeCkSum           0xb259eb2b      
ImgCkSum            0x7b046ec6      
TimeTablePtr        0x01df9350
CritTablePtr        0x01dcb660
LogTablePtr         0x01dcb1e0
LogOptsPtr          0x01dcb670
;
Printf              0x00C27060      
Socket              0x003133A0      
Bind                0x00313FE0      
Connect             0x00317260      
Send                0x00317D20      
Recv                0x00317FC0      
Close               0x003184A0      
Malloc              0x0009AE20      
Free                0x0009B6C0      
Resched             0x00092840      
SyscallTable        0x01700A04      
;
;
;
:EOS:
;
