;
;
;
;
;
0x261808f7            
0xffffffff            
0x0   0x0036F000      
0x1   0x0036E5A0      
0x3   0x00368F20      
0x6   0x00D2B260      
0x7   0x00D2B4E0      
0x8   0x000A0E20      
0x9   0x000A15A0      
0xa   0x00D2CC40      
0xf   0x00BD9520      
0x15  0x0008B0A0      
0x17  0x0008B3E0      
0x19  0x0009AEDC      
0x28  0x0093B8CF      
0x29  0x00935254      
0x3b  0x000B3C00      
0x3c  0x000B3FA0      
0x3d  0x000B3720      
0x3e  0x000B42A0      
;
0x20  0x0078BB00      
0x21  0x00096520      
0x22  0x01C0C34C      
0x24  0x00095778      
0x27  0x01801638      
0x2f  0x0231DE40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01BF44D4      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02330A60      
ConfigAddr          0x023366A0      
PingPtr             0x0184FD90      
SafeSpace           0x01800000      
CodeCkSum           0x32d540b3      
ImgCkSum            0xf562c8f7      
TimeTablePtr        0x02368670
CritTablePtr        0x02339620
LogTablePtr         0x023391a0
LogOptsPtr          0x02339630
;
Printf              0x00D2CC40      
Socket              0x00376880      
Bind                0x003774C0      
Connect             0x0037A6E0      
Send                0x0037B1A0      
Recv                0x0037B440      
Close               0x0037B920      
Malloc              0x000A0E20      
Free                0x000A15A0      
Resched             0x00094C60      
SyscallTable        0x01801638      
;
;
;
:EOS:
;
