;
;
;
;
;
0x26180edb            
0xffffffff            
0x0   0x003715C0      
0x1   0x00370B60      
0x3   0x0036B4E0      
0x6   0x00D31200      
0x7   0x00D31480      
0x8   0x000A0E20      
0x9   0x000A15A0      
0xa   0x00D32A40      
0xf   0x00BDF340      
0x15  0x0008B0A0      
0x17  0x0008B3E0      
0x19  0x0009AEDC      
0x28  0x0094138F      
0x29  0x0093ACB4      
0x3b  0x000B3C00      
0x3c  0x000B3FA0      
0x3d  0x000B3720      
0x3e  0x000B42A0      
;
0x20  0x007927C0      
0x21  0x00096520      
0x22  0x01C0C634      
0x24  0x00095778      
0x27  0x01801638      
0x2f  0x0231DF40      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01BF47BC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x02330B60      
ConfigAddr          0x023367A0      
PingPtr             0x0184FDF0      
SafeSpace           0x01800000      
CodeCkSum           0x7e10f964      
ImgCkSum            0x66e10edb      
TimeTablePtr        0x02368770
CritTablePtr        0x02339720
LogTablePtr         0x023392a0
LogOptsPtr          0x02339730
;
Printf              0x00D32A40      
Socket              0x00378E40      
Bind                0x00379A80      
Connect             0x0037CCA0      
Send                0x0037D760      
Recv                0x0037DA00      
Close               0x0037DEE0      
Malloc              0x000A0E20      
Free                0x000A15A0      
Resched             0x00094C60      
SyscallTable        0x01801638      
;
;
;
:EOS:
;
