;
;
;
;
0x26180B64                  
0xffffffff                  
0x0     0x003E5A60          
0x1     0x003E4FA0          
0x3     0x003DE7E0          
0x6     0x00E783C0          
0x7     0x00E78660          
0x8     0x000A32A0          
0x9     0x000A3BC0          
0xa     0x00E79C80          
0xf     0x00CF4360          
0x15    0x0008C080          
0x17    0x0008C3C0          
0x19    0x0009CB50          
0x28    0x01BE4E28          
0x29    0x00A2EC34          
0x3b    0x000B75A0          
0x3c    0x000B7940          
0x3d    0x000B70C0          
0x3e    0x000B7C40          
0x3f    0x00A31E80          
0x20    0x008679A0          
0x21    0x000978E0          
0x22    0x01E3DDFC          
0x24    0x00096B38          
0x27    0x01A01638          
0x2f    0x0259C240          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01E1F5E4          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x025B47E0             
ConfigAddr           0x025BA6C0             
PingPtr              0x01A56C48             
SafeSpace            0x01A00000             
CodeCkSum            0x61CC9228             
ImgCkSum             0x18108B64             
TimeTablePtr         0x025FB310             
CritTablePtr         0x025BD6E0             
LogTablePtr          0x025BD260             
LogOptsPtr           0x025BD6F0             
;
Printf               0x00E79C80             
Socket               0x003ED3C0             
Bind                 0x003EE040             
Connect              0x003F1340             
Send                 0x003F1E40             
Recv                 0x003F20E0             
Close                0x003F24E0             
Malloc               0x000A32A0             
Free                 0x000A3BC0             
Resched              0x00096000             
SyscallTable         0x01A01638             
;
;
:EOS
;

