;
;
;
;
;
0x261a0047            
0xffffffff            
0x0   0x00427B30      
0x1   0x00427440      
0x3   0x00422980      
0x6   0x00BFE2B0      
0x7   0x00BFE520      
0x8   0x001246E0      
0x9   0x00124E50      
0xa   0x00BFEB70      
0xf   0x00AF09B0      
0x15  0x0010A580      
0x17  0x00109690      
0x19  0x00117C0D      
0x28  0x0097F6BE      
0x29  0x0097A230      
0x3b  0x00199870      
0x3c  0x00199B70      
0x3d  0x001990A0      
0x3e  0x00199DF0      
;
0x20  0x0015B2C0      
0x21  0x00106F30      
0x22  0x015CA8CC      
0x24  0x00112A69      
0x2f  0x01A12638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015B2024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A2EDC0      
ConfigAddr          0x01A3A24C      
PingPtr             0x01625278      
SafeSpace           0x0190d040      
ImgCkSum            0xf0c04b42      
CodeCkSum           0xf0c04b42      
TimeTablePtr        0x01ab43f0
CritTablePtr        0x01a42bf0
LogTablePtr         0x01a42be0
LogOptsPtr          0x01a41710
;
Printf              0x00BFEB70      
Socket              0x0042E610      
Bind                0x0042F200      
Connect             0x00432030      
Send                0x00432150      
Recv                0x00432630      
Close               0x00432AC0      
Malloc              0x001246E0      
Free                0x00124E50      
Resched             0x00112100      
;
;
;
:EOS:
;
