;
;
;
;
;
0x261a0224            
0xffffffff            
0x0   0x00427D20      
0x1   0x00427630      
0x3   0x00422B70      
0x6   0x00C01740      
0x7   0x00C019B0      
0x8   0x001246E0      
0x9   0x00124E50      
0xa   0x00C02000      
0xf   0x00AF3E40      
0x15  0x0010A580      
0x17  0x00109690      
0x19  0x00117C0D      
0x28  0x00982B4E      
0x29  0x0097D6C0      
0x3b  0x00199A30      
0x3c  0x00199D30      
0x3d  0x00199260      
0x3e  0x00199FB0      
;
0x20  0x0015B2D0      
0x21  0x00106F30      
0x22  0x015CD8CC      
0x24  0x00112A69      
0x2f  0x01A15638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015B5024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A31DC0      
ConfigAddr          0x01A3D24C      
PingPtr             0x01628278      
SafeSpace           0x01910040      
ImgCkSum            0xa8f7d722      
CodeCkSum           0xa8f7d722      
TimeTablePtr        0x01ab73f0
CritTablePtr        0x01a45bf0
LogTablePtr         0x01a45be0
LogOptsPtr          0x01a44710
;
Printf              0x00C02000      
Socket              0x0042E800      
Bind                0x0042F3F0      
Connect             0x00432220      
Send                0x00432340      
Recv                0x00432820      
Close               0x00432CB0      
Malloc              0x001246E0      
Free                0x00124E50      
Resched             0x00112100      
;
;
;
:EOS:
;
