;
;
;
;
;
0x261a0896            
0xffffffff            
0x0   0x00465150      
0x1   0x00464A60      
0x3   0x0045FD60      
0x6   0x00D201C0      
0x7   0x00D20430      
0x8   0x00124D30      
0x9   0x001254A0      
0xa   0x00D20A80      
0xf   0x00C07EF0      
0x15  0x0010AC50      
0x17  0x00109740      
0x19  0x00117FD9      
0x28  0x009DFE1E      
0x29  0x009DA990      
0x3b  0x0019AB10      
0x3c  0x0019AE10      
0x3d  0x0019A340      
0x3e  0x0019B090      
;
0x20  0x0015BE50      
0x21  0x00107560      
0x22  0x0173F8CC      
0x24  0x00113159      
0x2f  0x01BA6A90      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01727024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01BCBF60      
ConfigAddr          0x01BD7A0C      
PingPtr             0x0179BDF8      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x31617f7a      
CodeCkSum           0x31617f7a      
TimeTablePtr        0x01c5e670
CritTablePtr        0x01be05f0
LogTablePtr         0x01be05e0
LogOptsPtr          0x01bdf110
;
Printf              0x00D20A80      
Socket              0x0046BC80      
Bind                0x0046C870      
Connect             0x0046F6B0      
Send                0x0046F7D0      
Recv                0x0046FD20      
Close               0x004701C0      
Malloc              0x00124D30      
Free                0x001254A0      
Resched             0x001127E0      
;
;
;
:EOS:
;
