;
;
;
;
0x261A07A4                  
0xffffffff                  
0x0     0x004677A0          
0x1     0x004670B0          
0x3     0x004623B0          
0x6     0x00D24160          
0x7     0x00D243D0          
0x8     0x00124D30          
0x9     0x001254A0          
0xa     0x00D24A20          
0xf     0x00C0B3A0          
0x15    0x0010AC50          
0x17    0x00109D60          
0x19    0x0011834D          
0x20    0x0015DB30          
0x21    0x00107560          
0x22    0x017488CC          
0x24    0x00113159          
0x28    0x018A764C          
0x29    0x009DDBB0          
0x2f    0x01BAFA90          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01730024          
0x3b    0x0019C930          
0x3c    0x0019CC30          
0x3d    0x0019C160          
0x3e    0x0019CEB0          
0x3f    0x009E0A80          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01BD4F60             
ConfigAddr           0x01BE0A0C             
PingPtr              0x017A4F58             
SafeSpace            0x00000000             
CodeCkSum            0x4c3bebf1             
ImgCkSum             0x4c3bebf1             
Printf               0x00D24A20             
Socket               0x0046E2D0             
Bind                 0x0046EEC0             
Connect              0x00471D00             
Send                 0x00471E20             
Recv                 0x00472370             
Close                0x00472810             
Malloc               0x00124D30             
Free                 0x001254A0             
Resched              0x001127E0             
TimeTablePtr         0x01C67870             
CritTablePtr         0x01BE95F0             
LogTablePtr          0x01BE95E0             
LogOptsPtr           0x01BE8110             
;
;
:EOS:
;
;

