;
;
;
;
0x261A0A9A                  
0xffffffff                  
0x0     0x004F8560          
0x1     0x004F7C50          
0x3     0x004F19B0          
0x6     0x00F0BEB0          
0x7     0x00F0C0E0          
0x8     0x00126FC0          
0x9     0x001277D0          
0xa     0x00F0D530          
0xf     0x00DB0F80          
0x15    0x0010CC30          
0x17    0x0010CF50          
0x19    0x0011B1BF          
0x20    0x0016CFC0          
0x21    0x0010A3B0          
0x22    0x01A4E79C          
0x24    0x00116879          
0x28    0x01BD2CAC          
0x29    0x00B65940          
0x2f    0x01F22760          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01A2F024          
0x3b    0x001B90B0          
0x3c    0x001B9390          
0x3d    0x001B8BA0          
0x3e    0x001B9600          
0x3f    0x00B68A80          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01F4A7A0             
ConfigAddr           0x01F575D8             
PingPtr              0x01AB48B8             
SafeSpace            0x00000000             
CodeCkSum            0x1195a6ba             
ImgCkSum             0x1195a6ba             
Printf               0x00F0D530             
Socket               0x004FF410             
Bind                 0x004FFE10             
Connect              0x00502E40             
Send                 0x00503630             
Recv                 0x00503BC0             
Close                0x00504050             
Malloc               0x00126FC0             
Free                 0x001277D0             
Resched              0x00115E80             
TimeTablePtr         0x01FE49B0             
CritTablePtr         0x01F61830             
LogTablePtr          0x01F61820             
LogOptsPtr           0x01F60120             
;
;
:EOS:
;
;

