;
;
;
;
;
0x25170550            
0xffffffff            
0x0   0x003BC190      
0x1   0x003BB920      
0x3   0x003B6FA0      
0x6   0x00B0EFD0      
0x7   0x00B0F240      
0x8   0x0011F200      
0x9   0x0011DE60      
0xa   0x00B0F870      
0xf   0x00A31090      
0x15  0x00108860      
0x17  0x00107340      
0x19  0x001123AE      
0x28  0x008E8FCE      
0x29  0x008E3BB0      
0x3b  0x00180000      
0x3c  0x00180300      
0x3d  0x0017F830      
0x3e  0x00180580      
;
0x20  0x00149100      
0x21  0x00106560      
0x22  0x014718AC      
0x24  0x00110CA9      
0x2f  0x0185A384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01459024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01876520      
ConfigAddr          0x01881354      
PingPtr             0x014A6FF8      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x74EB96BC
CodeCkSum           0x74EB96BC
TimeTablePtr        0x018faa30
CritTablePtr        0x01889d30
LogTablePtr         0x01889d20
LogOptsPtr          0x0188884c
;
Printf              0x00B0F870      
Socket              0x003C28A0      
Bind                0x003C3490      
Connect             0x003C62D0      
Send                0x003C63F0      
Recv                0x003C6900      
Close               0x003C6D90      
Malloc              0x0011F200      
Free                0x0011DE60      
Resched             0x00110350      
;
;
;
:EOS:
;
