;
;
;
;
;
0x25170057            
0xffffffff            
0x0   0x003B7C40      
0x1   0x003B73D0      
0x3   0x003B2AF0      
0x6   0x00B03690      
0x7   0x00B038F0      
0x8   0x0011E120      
0x9   0x0011CD80      
0xa   0x00B03F20      
0xf   0x00A26350      
0x15  0x001077A0      
0x17  0x001068D0      
0x19  0x001115FD      
0x28  0x008DF37E      
0x29  0x008D9F60      
0x3b  0x0017DF50      
0x3c  0x0017E250      
0x3d  0x0017D780      
0x3e  0x0017E4D0      
;
0x20  0x00147B40      
0x21  0x00105480      
0x22  0x0145F8AC      
0x24  0x0010FBC9      
0x2f  0x01847384      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01447024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x018635C0      
ConfigAddr          0x0186E3F4      
PingPtr             0x01494FF8      
SafeSpace           0x016f0000      
ImgCkSum            0x90d9d044      
CodeCkSum           0x90d9d044      
TimeTablePtr        0x018e7750
CritTablePtr        0x01876bb0
LogTablePtr         0x01876ba0
LogOptsPtr          0x018756cc
;
Printf              0x00B03F20      
Socket              0x003BE310      
Bind                0x003BEF00      
Connect             0x003C1D30      
Send                0x003C1E50      
Recv                0x003C2330      
Close               0x003C27C0      
Malloc              0x0011E120      
Free                0x0011CD80      
Resched             0x0010F270      
;
;
;
:EOS:
;
