;
;
;
;
;
0x26170e79            
0xffffffff            
0x0   0x00429310      
0x1   0x00428C20      
0x3   0x004240D0      
0x6   0x00BFFBD0      
0x7   0x00BFFE40      
0x8   0x00124860      
0x9   0x00124FD0      
0xa   0x00C00490      
0xf   0x00AF8AB0      
0x15  0x0010A700      
0x17  0x00109810      
0x19  0x00117D8D      
0x28  0x009864FE      
0x29  0x00981070      
0x3b  0x00199A30      
0x3c  0x00199D30      
0x3d  0x00199260      
0x3e  0x00199FB0      
;
0x20  0x0015B730      
0x21  0x00106F60      
0x22  0x015CA8CC      
0x24  0x00112BE9      
0x2f  0x01A12638      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015B2024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A2ED20      
ConfigAddr          0x01A3A1AC      
PingPtr             0x01625298      
SafeSpace           0x01900000      
ImgCkSum            0x754e4ed3      
CodeCkSum           0x754e4ed3      
TimeTablePtr        0x01ab4f50
CritTablePtr        0x01a42b50
LogTablePtr         0x01a42b40
LogOptsPtr          0x01a41670
;
Printf              0x00C00490      
Socket              0x0042FDF0      
Bind                0x004309E0      
Connect             0x00433820      
Send                0x00433940      
Recv                0x00433E30      
Close               0x004342C0      
Malloc              0x00124860      
Free                0x00124FD0      
Resched             0x00112280      
;
;
;
:EOS:
;
