;
;
;
;
;
0x261703d7            
0xffffffff            
0x0   0x0042B750      
0x1   0x0042B060      
0x3   0x00426500      
0x6   0x00C055F0      
0x7   0x00C05860      
0x8   0x001248A0      
0x9   0x00125010      
0xa   0x00C05EB0      
0xf   0x00AFD6A0      
0x15  0x0010A700      
0x17  0x001091F0      
0x19  0x00117A79      
0x28  0x0098A60E      
0x29  0x00985180      
0x3b  0x00199F60      
0x3c  0x0019A260      
0x3d  0x00199790      
0x3e  0x0019A4E0      
;
0x20  0x0015BA90      
0x21  0x00106F60      
0x22  0x015DA8CC      
0x24  0x00112C09      
0x2f  0x01A22934      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x015C2024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01A3F040      
ConfigAddr          0x01A4A96C      
PingPtr             0x01635298      
SafeSpace           0xFFFFFFF7      
ImgCkSum            0x0b1b9066      
CodeCkSum           0x0b1b9066      
TimeTablePtr        0x01ac5910
CritTablePtr        0x01a53510
LogTablePtr         0x01a53500
LogOptsPtr          0x01a52030
;
Printf              0x00C05EB0      
Socket              0x00432250      
Bind                0x00432E40      
Connect             0x00435C80      
Send                0x00435DA0      
Recv                0x004362B0      
Close               0x00436740      
Malloc              0x001248A0      
Free                0x00125010      
Resched             0x00112290      
;
;
;
:EOS:
;
