;
;
;
;
;
0x26170755            
0xffffffff            
0x0   0x00466520      
0x1   0x00465E30      
0x3   0x004610E0      
0x6   0x00C6DD50      
0x7   0x00C6DFC0      
0x8   0x00125780      
0x9   0x00125EF0      
0xa   0x00C6E620      
0xf   0x00B5FBF0      
0x15  0x0010ADD0      
0x17  0x001098C0      
0x19  0x00118A2C      
0x28  0x009E735E      
0x29  0x009E1E20      
0x3b  0x0019E730      
0x3c  0x0019EA30      
0x3d  0x0019DF60      
0x3e  0x0019ECB0      
;
0x20  0x0015E9D0      
0x21  0x00107590      
0x22  0x0166A8CC      
0x24  0x001133e9      
0x2f  0x01ACEA94      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01652024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01AF3F80      
ConfigAddr          0x01AFFA2C      
PingPtr             0x016c9898      
SafeSpace           0x3fffe004      
ImgCkSum            0xe13e1e4d
CodeCkSum           0xe13e1e4d
TimeTablePtr        0x01b86af0
CritTablePtr        0x01b08610
LogTablePtr         0x01b08600
LogOptsPtr          0x01b07130
;
Printf              0x00C6E620      
Socket              0x0046D020      
Bind                0x0046DC10      
Connect             0x00470A50      
Send                0x00470B70      
Recv                0x004710C0      
Close               0x00471550      
Malloc              0x00125780      
Free                0x00125EF0      
Resched             0x00112A70      
;
;
;
:EOS:
;
