;
;
;
;
;
0x26170049            
0xffffffff            
0x0   0x0046ACB0      
0x1   0x0046A5C0      
0x3   0x00465800      
0x6   0x00C75750      
0x7   0x00C759C0      
0x8   0x00126450      
0x9   0x00126BC0      
0xa   0x00C76020      
0xf   0x00B67010      
0x15  0x0010BAA0      
0x17  0x0010A590      
0x19  0x001196FC      
0x28  0x009EE2AE      
0x29  0x009E8D70      
0x3b  0x001A0AE0      
0x3c  0x001A0DE0      
0x3d  0x001A0310      
0x3e  0x001A1060      
;
0x20  0x0015FDB0      
0x21  0x00108260      
0x22  0x016728CC      
0x24  0x001140b9      
0x2f  0x01AE5194      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x0165A024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01B0A680      
ConfigAddr          0x01B1612C      
PingPtr             0x016D18F8      
SafeSpace           0x3fffe004      
ImgCkSum            0x3e9f2146      
CodeCkSum           0x3e9f2146      
TimeTablePtr        0x01b9d250
CritTablePtr        0x01b1ed10
LogTablePtr         0x01b1ed00
LogOptsPtr          0x01b1d830
;
Printf              0x00C76020      
Socket              0x00471870      
Bind                0x00472460      
Connect             0x004752A0      
Send                0x004753C0      
Recv                0x00475910      
Close               0x00475DA0      
Malloc              0x00126450      
Free                0x00126BC0      
Resched             0x00113740      
;
;
;
:EOS:
;
