;
;
;
;
0x261704a0            
0xffffffff            
0x0   0x0049F160      
0x1   0x0049EA70      
0x3   0x00498FB0      
0x6   0x00D25FF0      
0x7   0x00D26280      
0x8   0x00125F70      
0x9   0x00126730      
0xa   0x00D268F0      
0xf   0x00BF0AD0      
0x15  0x0010ADA0      
0x17  0x00109F30      
0x19  0x0011915D      
0x28  0x018F61AC      
0x29  0x00A69570      
0x3b  0x001A70F0      
0x3c  0x001A73F0      
0x3d  0x001A6920      
0x3e  0x001A7670      
0x3f  0x00A6C440      
0x20  0x00160370      
0x21  0x00107540      
0x22  0x0177E948      
0x24  0x001135A9      
0x2f  0x01C039F4      
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01766024      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01C2AC80      
ConfigAddr          0x01C36AEC      
PingPtr             0x017E2278      
SafeSpace           0xFFFFFFFF      
ImgCkSum            0xC32F6C47 
CodeCkSum           0xC32F6C47
TimeTablePtr        0x01cc0a10
CritTablePtr        0x01c40510
LogTablePtr         0x01c40500
LogOptsPtr          0x01c3eff0
;
Printf              0x00D268F0     
Socket              0x004A5db0     
Bind                0x004A69c0     
Connect             0x004A9870     
Send                0x004A9990     
Recv                0x004A9EE0     
Close               0x004AA370     
Malloc              0x00125F70     
Free                0x00126730     
Resched             0x00112C40     
;
;
;
:EOS:
;
