;
;
;
;
0x2617075E                  
0xffffffff                  
0x0     0x004A7DB0          
0x1     0x004A76C0          
0x3     0x004A1C00          
0x6     0x00D40660          
0x7     0x00D408F0          
0x8     0x00127170          
0x9     0x00127930          
0xa     0x00D40F60          
0xf     0x00C08EC0          
0x15    0x0010BCC0          
0x17    0x0010AE50          
0x19    0x0011A26F          
0x20    0x001643C0          
0x21    0x00108410          
0x22    0x017AA948          
0x24    0x00114609          
0x28    0x0192398C          
0x29    0x00A7CE10          
0x2f    0x01C40474          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x0178B024          
0x3b    0x001AB240          
0x3c    0x001AB540          
0x3d    0x001AAA70          
0x3e    0x001AB7C0          
0x3f    0x00A7FCE0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01C68760             
ConfigAddr           0x01C745EC             
PingPtr              0x0180E3F8             
SafeSpace            0x00000000             
ImgCkSum             0x51724B44             
CodeCkSum            0x51724B44             
SystemCkSum          0x001E15D0             
TimeTablePtr         0x01CFE9B0             
LogTablePtr          0x01C7E2C0             
LogOptsPtr           0x01C7CBBC             
CritTablePtr         0x01C7E2D0             
MixedConfig          0x007FB7C0             
Printf               0x00D40F60             
Socket               0x004AEA00             
Bind                 0x004AF610             
Connect              0x004B24D0             
Send                 0x004B25F0             
Recv                 0x004B2B40             
Close                0x004B2FD0             
Malloc               0x00127170             
Free                 0x00127930             
Resched              0x00113CA0             
;
;
:EOS:
;
