;
;
;
;
0x26170C6E                  
0xffffffff                  
0x0     0x004F3DA0          
0x1     0x004F3490          
0x3     0x004ED1E0          
0x6     0x00E49B00          
0x7     0x00E49D30          
0x8     0x00127250          
0x9     0x00127A60          
0xa     0x00E4B180          
0xf     0x00CFC2C0          
0x15    0x0010CDC0          
0x17    0x0010D0E0          
0x19    0x0011B44F          
0x20    0x0016DD30          
0x21    0x0010A3E0          
0x22    0x0196279C          
0x24    0x00116A09          
0x28    0x01AE622C          
0x29    0x00B63760          
0x2f    0x01E2F780          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x01943024          
0x3b    0x001BA0A0          
0x3c    0x001BA380          
0x3d    0x001B9B90          
0x3e    0x001BA5F0          
0x3f    0x00B668A0          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01E57800             
ConfigAddr           0x01E64638             
PingPtr              0x019C8038             
SafeSpace            0x00000000             
ImgCkSum             0x259DAE4C             
CodeCkSum            0x259DAE4C             
SystemCkSum          0x0041A12E             
TimeTablePtr         0x01EF1A10             
LogTablePtr          0x01E6E8A0             
LogOptsPtr           0x01E6D1A0             
CritTablePtr         0x01E6E8B0             
MixedConfig          0x008BC3A0             
Printf               0x00E4B180             
Socket               0x004FAC50             
Bind                 0x004FB650             
Connect              0x004FE680             
Send                 0x004FEE70             
Recv                 0x004FF400             
Close                0x004FF890             
Malloc               0x00127250             
Free                 0x00127A60             
Resched              0x00116010             
;
;
:EOS:
;
