;
;
;
;
0x261706DE                  
0xffffffff                  
0x0     0x004F3DA0          
0x1     0x004F3490          
0x3     0x004ED1E0          
0x6     0x00E4D1C0          
0x7     0x00E4D3F0          
0x8     0x00127250          
0x9     0x00127A60          
0xa     0x00E4E840          
0xf     0x00CFE3C0          
0x15    0x0010CDC0          
0x17    0x0010D0E0          
0x19    0x0011B44F          
0x20    0x0016DDE0          
0x21    0x0010A3E0          
0x22    0x0196979C          
0x24    0x00116A09          
0x28    0x01AED42C          
0x29    0x00B65800          
0x2f    0x01E36780          
;
0x30    0x00000018          
0x31    0x00000034          
0x32    0x00000094          
0x33    0x00000000          
0x34    0x00000070          
0x35    0x0194A024          
0x3b    0x001BA380          
0x3c    0x001BA660          
0x3d    0x001B9E70          
0x3e    0x001BA8D0          
0x3f    0x00B68940          
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr      0x01E5E800             
ConfigAddr           0x01E6B6A8             
PingPtr              0x019CF078             
SafeSpace            0x00000000             
ImgCkSum             0xED5AF4F4             
CodeCkSum            0xED5AF4F4             
SystemCkSum          0x00E1822A             
TimeTablePtr         0x01EFAB10             
LogTablePtr          0x01E75940             
LogOptsPtr           0x01E74240             
CritTablePtr         0x01E75950             
MixedConfig          0x008BE1E0             
Printf               0x00E4E840             
Socket               0x004FAC50             
Bind                 0x004FB650             
Connect              0x004FE680             
Send                 0x004FEE70             
Recv                 0x004FF400             
Close                0x004FF890             
Malloc               0x00127250             
Free                 0x00127A60             
Resched              0x00116010             
;
;
:EOS:
;
