;
;
;
;
;
0x251908E3            
0xffffffff            
0x0   0x002F30D0      
0x1   0x002F27D4      
0x3   0x002ED828      
0x6   0x00BAD73C      
0x7   0x00BAD970      
0x8   0x00098CA4      
0x9   0x000994B0      
0xa   0x00BAEEAC      
0xf   0x00A6DDEC      
0x15  0x0008846C      
0x17  0x00088718      
0x19  0x0009345C      
0x28  0x0081FB43      
0x29  0x00819BB8      
0x3b  0x000A8FF0      
0x3c  0x000A9338      
0x3d  0x000A8B58      
0x3e  0x000A9600      
;
0x20  0x006AB0F8      
0x21  0x000929C0      
0x22  0x01A9D378      
0x24  0x00091D48      
0x27  0x01800A18      
0x2f  0x01E78540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A8562C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01E8B0C0      
ConfigAddr          0x01E90340      
PingPtr             0x01824F24      
SafeSpace           0x01800000      
CodeCkSum           0x828d5d27      
ImgCkSum            0xc0ddf8e3      
TimeTablePtr        0x01ec0a70
CritTablePtr        0x01e93060
LogTablePtr         0x01e92be0
LogOptsPtr          0x01e93070
;
Printf              0x00BAEEAC      
Socket              0x002F9D8C      
Bind                0x002FA9EC      
Connect             0x002FD994      
Send                0x002FE3D4      
Recv                0x002FE628      
Close               0x002FEAA0      
Malloc              0x00098CA4      
Free                0x000994B0      
Resched             0x00091314      
SyscallTable        0x01800A18      
;
;
;
:EOS:
;
