;
;
;
;
;
0x2519022E            
0xffffffff            
0x0   0x002F3374      
0x1   0x002F2A64      
0x3   0x002EDAB8      
0x6   0x00BBA644      
0x7   0x00BBA878      
0x8   0x00098CC8      
0x9   0x000994D4      
0xa   0x00BBBDB4      
0xf   0x00A7A79C      
0x15  0x00088490      
0x17  0x0008873C      
0x19  0x00093480      
0x28  0x0082C3A3      
0x29  0x00826418      
0x3b  0x000A9014      
0x3c  0x000A935C      
0x3d  0x000A8B7C      
0x3e  0x000A9624      
;
0x20  0x006AB6A8      
0x21  0x000929E4      
0x22  0x01A9D318      
0x24  0x00091D6C      
0x27  0x01800A18      
0x2f  0x01E78440      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01A855CC      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x01E8AFC0      
ConfigAddr          0x01E90240      
PingPtr             0x01824F04      
SafeSpace           0x01800000      
CodeCkSum           0x35f310e9      
ImgCkSum            0x6158b22e      
TimeTablePtr        0x01ec0970
CritTablePtr        0x01e92f60
LogTablePtr         0x01e92ae0
LogOptsPtr          0x01e92f70
;
Printf              0x00BBBDB4      
Socket              0x002FA030      
Bind                0x002FAC90      
Connect             0x002FDC38      
Send                0x002FE678      
Recv                0x002FE8CC      
Close               0x002FED44      
Malloc              0x00098CC8      
Free                0x000994D4      
Resched             0x00091338      
SyscallTable        0x01800A18      
;
;
;
:EOS:
;
