;
;
;
;
;
0x26190A01            
0xffffffff            
0x0   0x00352380      
0x1   0x003519EC      
0x3   0x0034C8E0      
0x6   0x00C97140      
0x7   0x00C97374      
0x8   0x0009EA10      
0x9   0x0009F134      
0xa   0x00C988EC      
0xf   0x00B45DA8      
0x15  0x0008A174      
0x17  0x0008A430      
0x19  0x00098EBC      
0x28  0x008CBDD3      
0x29  0x008C5D70      
0x3b  0x000B0590      
0x3c  0x000B08D8      
0x3d  0x000B00F8      
0x3e  0x000B0BA0      
;
0x20  0x0072D464      
0x21  0x00094798      
0x22  0x01C85224      
0x24  0x00093B24      
0x27  0x01901640      
0x2f  0x022D5540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01C6D32C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x022E81A0      
ConfigAddr          0x022ED920      
PingPtr             0x0194EC38      
SafeSpace           0x01900000      
CodeCkSum           0x869a09f1      
ImgCkSum            0x40495a01      
TimeTablePtr        0x0231eb70
CritTablePtr        0x022f06a0
LogTablePtr         0x022f0220
LogOptsPtr          0x022f06b0
;
Printf              0x00C988EC      
Socket              0x00359210      
Bind                0x00359E70      
Connect             0x0035CE04      
Send                0x0035D840      
Recv                0x0035DA94      
Close               0x0035DF0C      
Malloc              0x0009EA10      
Free                0x0009F134      
Resched             0x000930E8      
SyscallTable        0x01901640      
;
;
;
:EOS:
;
