;
;
;
;
;
0x26190E5A            
0xffffffff            
0x0   0x0035239C      
0x1   0x00351A08      
0x3   0x0034C8FC      
0x6   0x00C9F8CC      
0x7   0x00C9FB00      
0x8   0x0009EA10      
0x9   0x0009F134      
0xa   0x00CA1078      
0xf   0x00B4E534      
0x15  0x0008A174      
0x17  0x0008A430      
0x19  0x00098EBC      
0x28  0x008D455F      
0x29  0x008CE4FC      
0x3b  0x000B0590      
0x3c  0x000B08D8      
0x3d  0x000B00F8      
0x3e  0x000B0BA0      
;
0x20  0x0072CDEC      
0x21  0x00094798      
0x22  0x01C85224      
0x24  0x00093B24      
0x27  0x01901640      
0x2f  0x022D5540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01C6D32C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x022E81A0      
ConfigAddr          0x022ED920      
PingPtr             0x0194EC38      
SafeSpace           0x01900000      
CodeCkSum           0xf51b0348      
ImgCkSum            0x86ef8e5a      
TimeTablePtr        0x0231eb70
CritTablePtr        0x022f06a0
LogTablePtr         0x022f0220
LogOptsPtr          0x022f06b0
;
Printf              0x00CA1078      
Socket              0x0035922C      
Bind                0x00359E8C      
Connect             0x0035CE20      
Send                0x0035D85C      
Recv                0x0035DAB0      
Close               0x0035DF28      
Malloc              0x0009EA10      
Free                0x0009F134      
Resched             0x000930E8      
SyscallTable        0x01901640      
;
;
;
:EOS:
;
