;
;
;
;
;
0x26190599            
0xffffffff            
0x0   0x00353C78      
0x1   0x003532E4      
0x3   0x0034E180      
0x6   0x00CA4350      
0x7   0x00CA4584      
0x8   0x0009EA10      
0x9   0x0009F134      
0xa   0x00CA5AFC      
0xf   0x00B52ADC      
0x15  0x0008A174      
0x17  0x0008A430      
0x19  0x00098EBC      
0x28  0x008D7C43      
0x29  0x008D1BE0      
0x3b  0x000B0590      
0x3c  0x000B08D8      
0x3d  0x000B00F8      
0x3e  0x000B0BA0      
;
0x20  0x007301A0      
0x21  0x00094798      
0x22  0x01C8578C      
0x24  0x00093B24      
0x27  0x01901640      
0x2f  0x022D5540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01C6D894      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x022E8140      
ConfigAddr          0x022ED8C0      
PingPtr             0x0194EC50      
SafeSpace           0x01900000      
CodeCkSum           0x10dced8a      
ImgCkSum            0x02d90599      
TimeTablePtr        0x0231f750
CritTablePtr        0x022f0660
LogTablePtr         0x022f01e0
LogOptsPtr          0x022f0670
;
Printf              0x00CA5AFC      
Socket              0x0035AB50      
Bind                0x0035B7B0      
Connect             0x0035E750      
Send                0x0035F1B4      
Recv                0x0035F408      
Close               0x0035F880      
Malloc              0x0009EA10      
Free                0x0009F134      
Resched             0x000930E8      
SyscallTable        0x01901640      
;
;
;
:EOS:
;
