;
;
;
;
;
0x26190fba            
0xffffffff            
0x0   0x0038C5AC      
0x1   0x0038BC14      
0x3   0x003868F4      
0x6   0x00D02810      
0x7   0x00D02A44      
0x8   0x0009EDD8      
0x9   0x0009F4FC      
0xa   0x00D03FBC      
0xf   0x00BAC420      
0x15  0x0008A404      
0x17  0x0008A6C0      
0x19  0x0009918C      
0x28  0x00924593      
0x29  0x0091E530      
0x3b  0x000B0980      
0x3c  0x000B0CC8      
0x3d  0x000B04E8      
0x3e  0x000B0F90      
;
0x20  0x00779ED8      
0x21  0x00094A50      
0x22  0x01D8B764      
0x24  0x00093DDC      
0x27  0x01a01638      
0x2f  0x02315540      
;
0x30  0x00000018      
0x31  0x00000034      
0x32  0x00000094      
0x33  0x00000000      
0x34  0x00000070      
0x35  0x01D7386C      
;
;
;
:EOS:
;
;
;
ArpTableAddrPtr     0x0232B980      
ConfigAddr          0x023316C0      
PingPtr             0x01A511C8      
SafeSpace           0x01A00000      
CodeCkSum           0xa4de77d2      
ImgCkSum            0x8024efba      
TimeTablePtr        0x0236f6f0
CritTablePtr        0x02334680
LogTablePtr         0x02334200
LogOptsPtr          0x02334690
;
Printf              0x00D03FBC      
Socket              0x003934D4      
Bind                0x00394134      
Connect             0x003970D4      
Send                0x00397B78      
Recv                0x00397DCC      
Close               0x00398250      
Malloc              0x0009EDD8      
Free                0x0009F4FC      
Resched             0x0009338C      
SyscallTable        0x01a01638      
;
;
;
:EOS:
;
